clay,sand,bd,h333,h15000
45.0,38.0,1.25,0.406,0.26
52.0,33.0,1.33,0.446,0.32
49.0,36.0,1.32,0.37799999999999995,0.28
48.0,27.0,1.4,0.369,0.35
49.0,31.0,1.25,0.371,0.23
58.0,29.0,1.23,0.401,0.29
51.0,30.0,1.23,0.424,0.29
53.0,33.0,1.24,0.415,0.31
49.0,28.0,1.12,0.431,0.24
59.0,22.0,1.09,0.436,0.31
26.0,61.0,1.47,0.214,0.15
32.0,48.0,1.61,0.26,0.21
14.0,78.0,1.69,0.155,0.09
22.0,71.0,1.73,0.22,0.18
32.0,49.0,1.36,0.209,0.14
45.0,40.0,1.5,0.276,0.19
28.0,55.0,1.41,0.252,0.14
48.0,25.0,1.27,0.395,0.31
29.0,52.0,1.28,0.209,0.14
44.0,43.0,1.62,0.29,0.24
30.0,53.0,1.62,0.252,0.17
39.0,48.0,1.45,0.34,0.26
25.0,61.0,1.48,0.204,0.13
35.0,52.0,1.42,0.21899999999999997,0.17
23.0,62.0,1.61,0.24600000000000002,0.15
50.0,41.0,1.48,0.29,0.22
26.0,60.0,1.37,0.261,0.13
47.0,42.0,1.52,0.262,0.19
16.0,69.0,1.38,0.231,0.09
36.0,55.0,1.6,0.23600000000000002,0.18
15.0,60.0,1.44,0.254,0.12
27.0,37.0,1.69,0.24,0.16
21.0,59.0,1.33,0.256,0.1
26.0,57.0,1.5,0.358,0.32
17.0,59.0,1.51,0.28300000000000003,0.12
42.0,43.0,1.59,0.35,0.29
17.0,70.0,1.4,0.20600000000000002,0.09
43.0,45.0,1.57,0.29600000000000004,0.21
22.0,59.0,1.56,0.273,0.12
48.0,41.0,1.57,0.282,0.19
16.0,70.0,1.58,0.24100000000000002,0.1
43.0,47.0,1.57,0.302,0.22
21.0,61.0,1.36,0.251,0.12
44.0,44.0,1.63,0.289,0.19
23.0,58.0,1.38,0.271,0.11
46.0,43.0,1.35,0.34600000000000003,0.24
14.0,61.0,1.67,0.237,0.07
21.0,54.0,1.64,0.336,0.23
31.0,20.0,1.34,0.307,0.11
35.0,19.0,1.45,0.326,0.2
15.0,61.0,1.69,0.24,0.08
21.0,57.0,1.52,0.29600000000000004,0.17
22.0,40.0,1.57,0.27899999999999997,0.08
32.0,40.0,1.58,0.295,0.19
13.0,52.0,1.58,0.275,0.06
17.0,50.0,1.68,0.31,0.22
15.0,72.0,1.55,0.254,0.15
33.0,53.0,1.46,0.294,0.18
13.0,78.0,1.63,0.139,0.04
11.0,84.0,1.55,0.305,0.21
20.0,67.0,1.56,0.24,0.13
22.0,52.0,1.34,0.264,0.14
17.0,78.0,1.61,0.268,0.2
31.0,62.0,1.48,0.325,0.23
18.0,69.0,1.52,0.252,0.16
17.0,54.0,1.31,0.28,0.23
15.0,79.0,1.65,0.217,0.1
23.0,55.0,1.5,0.29100000000000004,0.18
20.0,67.0,1.59,0.24,0.16
18.0,47.0,1.26,0.266,0.15
5.0,93.0,1.67,0.14,0.11
11.0,87.0,1.61,0.12300000000000001,0.09
15.0,59.0,1.5,0.285,0.1
39.0,38.0,1.21,0.483,0.35
16.0,73.0,1.61,0.21899999999999997,0.2
36.0,55.0,1.55,0.31,0.25
23.0,64.0,1.62,0.247,0.15
35.0,52.0,1.58,0.252,0.19
14.0,70.0,1.5,0.20600000000000002,0.06
28.0,60.0,1.43,0.204,0.08
28.0,55.0,1.56,0.242,0.14
42.0,45.0,1.56,0.289,0.21
7.0,81.0,1.64,0.17,0.06
7.0,82.0,1.51,0.355,0.26
8.0,79.0,1.53,0.222,0.06
7.0,79.0,1.42,0.33799999999999997,0.24
14.0,72.0,1.62,0.188,0.06
30.0,56.0,1.37,0.342,0.22
50.0,28.0,1.28,0.429,0.33
53.0,23.0,1.29,0.441,0.32
61.0,16.0,1.22,0.47100000000000003,0.3
63.0,15.0,1.26,0.47100000000000003,0.36
53.0,31.0,1.34,0.452,0.31
50.0,31.0,1.3,0.423,0.3
58.0,28.0,1.27,0.436,0.28
56.0,27.0,1.33,0.43,0.33
47.0,31.0,1.34,0.436,0.31
48.0,30.0,1.37,0.415,0.29
53.0,33.0,1.37,0.425,0.35
55.0,27.0,1.34,0.42,0.38
65.0,21.0,1.29,0.466,0.28
65.0,20.0,1.27,0.44299999999999995,0.29
50.0,31.0,1.35,0.423,0.23
56.0,27.0,1.34,0.439,0.27
60.0,24.0,1.29,0.466,0.27
62.0,22.0,1.29,0.45299999999999996,0.28
40.0,42.0,1.42,0.354,0.23
42.0,39.0,1.34,0.364,0.23
49.0,34.0,1.4,0.446,0.26
56.0,28.0,1.33,0.46399999999999997,0.26
62.0,22.0,1.14,0.513,0.28
64.0,20.0,1.17,0.5329999999999999,0.3
64.0,19.0,1.17,0.536,0.3
64.0,19.0,1.16,0.54,0.3
30.0,49.0,1.44,0.312,0.16
46.0,36.0,1.49,0.396,0.22
55.0,24.0,1.47,0.319,0.21
69.0,14.0,1.53,0.34,0.24
8.0,83.0,1.6,0.15,0.06
9.0,81.0,1.69,0.14,0.05
15.0,74.0,1.41,0.17,0.09
29.0,53.0,1.6,0.27,0.24
38.0,36.0,1.4,0.28,0.22
10.0,77.0,1.59,0.18,0.08
13.0,77.0,1.59,0.29,0.24
14.0,72.0,1.63,0.18,0.09
14.0,57.0,1.56,0.24,0.12
26.0,60.0,1.56,0.26,0.2
11.0,56.0,1.45,0.24,0.1
18.0,68.0,1.54,0.21,0.14
25.0,57.0,1.49,0.25,0.19
14.0,56.0,1.46,0.34,0.12
20.0,62.0,1.41,0.38,0.17
22.0,51.0,1.3,0.41,0.18
26.0,48.0,1.29,0.37,0.12
13.0,57.0,1.43,0.4,0.1
13.0,74.0,1.54,0.42,0.16
9.0,81.0,1.51,0.32,0.05
17.0,64.0,1.42,0.36,0.1
14.0,67.0,1.49,0.21,0.13
18.0,57.0,1.56,0.24,0.18
17.0,63.0,1.58,0.21,0.14
20.0,63.0,1.29,0.17,0.1
16.0,71.0,1.36,0.18,0.14
12.0,78.0,1.62,0.18,0.1
35.0,35.0,1.46,0.19,0.12
19.0,60.0,1.65,0.23,0.18
14.0,64.0,1.57,0.19,0.13
10.0,76.0,1.63,0.19,0.09
6.0,86.0,1.6,0.16,0.07
16.0,72.0,1.57,0.18,0.09
9.0,83.0,1.68,0.16,0.1
10.0,70.0,1.06,0.18,0.08
12.0,74.0,1.58,0.19,0.09
24.0,55.0,1.61,0.26,0.19
20.0,71.0,1.44,0.24,0.15
13.0,72.0,1.48,0.24,0.11
11.0,69.0,1.46,0.26,0.11
16.0,59.0,1.38,0.28,0.17
15.0,75.0,1.71,0.27,0.19
15.0,75.0,1.52,0.2,0.09
11.0,68.0,1.54,0.25,0.07
9.0,73.0,1.53,0.21,0.05
21.0,63.0,1.57,0.24,0.15
16.0,66.0,1.66,0.23,0.14
18.0,65.0,1.67,0.2,0.12
18.0,65.0,1.74,0.22,0.11
14.0,65.0,1.46,0.25,0.11
13.0,68.0,1.54,0.21,0.1
15.0,67.0,1.56,0.17,0.06
18.0,68.0,1.55,0.27,0.21
17.0,37.0,1.58,0.23,0.14
11.0,74.0,1.55,0.18,0.07
12.0,76.0,1.56,0.25,0.09
17.0,49.0,1.43,0.25,0.12
22.0,67.0,1.47,0.22,0.09
23.0,65.0,1.5,0.22,0.14
14.0,68.0,1.79,0.15,0.11
19.0,73.0,1.7,0.22,0.14
31.0,44.0,1.2,0.34,0.23
17.0,71.0,1.58,0.19,0.12
10.0,71.0,1.7,0.2,0.11
13.0,70.0,1.65,0.21,0.11
19.0,63.0,1.55,0.24,0.12
15.0,47.0,1.62,0.19,0.1
9.0,57.0,1.61,0.23,0.1
16.0,72.0,1.63,0.18,0.1
19.0,72.0,1.61,0.2,0.1
15.0,64.0,1.47,0.23,0.13
13.0,67.0,1.45,0.25,0.13
23.0,63.0,1.38,0.24,0.16
20.0,66.0,1.57,0.21,0.12
8.0,83.0,1.61,0.13,0.06
9.0,81.0,1.7,0.13,0.06
37.0,54.0,1.6,0.16,0.08
42.0,41.0,1.43,0.26,0.24
61.0,24.0,1.42,0.33,0.31
11.0,72.0,1.6,0.19,0.11
15.0,73.0,1.61,0.26,0.22
23.0,52.0,1.62,0.24,0.17
47.0,42.0,1.54,0.28,0.24
21.0,52.0,1.64,0.23,0.12
28.0,60.0,1.59,0.24,0.17
38.0,48.0,1.58,0.27,0.18
26.0,52.0,1.46,0.33,0.12
33.0,48.0,1.43,0.4,0.19
41.0,35.0,1.25,0.42,0.22
19.0,63.0,1.31,0.41,0.13
26.0,49.0,1.49,0.37,0.14
32.0,56.0,1.56,0.39,0.08
37.0,56.0,1.48,0.43,0.17
25.0,59.0,1.81,0.17,0.13
17.0,65.0,1.62,0.25,0.19
29.0,51.0,1.55,0.27,0.21
25.0,57.0,1.49,0.26,0.12
32.0,52.0,1.42,0.17,0.11
21.0,59.0,1.64,0.34,0.23
21.0,60.0,1.59,0.29,0.21
21.0,58.0,1.5,0.37,0.3
34.0,50.0,1.61,0.25,0.2
31.0,53.0,1.62,0.22,0.16
15.0,73.0,1.52,0.17,0.1
29.0,63.0,1.55,0.2,0.16
67.0,28.0,1.53,0.25,0.2
12.0,76.0,1.7,0.25,0.21
29.0,52.0,1.64,0.28,0.23
66.0,27.0,1.5,0.32,0.29
12.0,73.0,1.67,0.29,0.23
63.0,22.0,1.78,0.29,0.23
32.0,58.0,1.57,0.32,0.32
28.0,51.0,1.7,0.28,0.2
19.0,65.0,1.48,0.19,0.07
70.0,21.0,1.67,0.3,0.25
29.0,58.0,1.68,0.29,0.21
39.0,52.0,1.7,0.18,0.1
56.0,23.0,1.73,0.25,0.19
33.0,54.0,1.64,0.29,0.25
15.0,74.0,1.58,0.2,0.11
13.0,78.0,1.95,0.17,0.1
